observation_id_ref,scientific_name,sex_P21,confidence_score,annotator_metadata,Crown,Crest,Nape,Chin,Bill,Gorget,Breast,Belly,Flanks,Back,Rump,Tail_coverts,Rectrices,Remiges
340479383,Threnetes leucurus,Male,4,User: Jair | Session: 2026-05-20 18:43,Q492305,Q112732446,Q90809560,Q492305,Q123227593,Q103888297,Q3776736,Q3776736,Q109442450,Q4009900,Q25349006,Q133280730,Q115121358,Q3116788
346448011,Colibri coruscans,Male,4,User: Jair | Session: 2026-05-20 18:54,Q56528582,Q121715819,Q56881339,Q90809470,Q123227593,Q90809487,Q90809441,Q90809470,Q4006208,Q90809482,Q115676970,Q90809487,Q3556225,Q18349136
346479353,Colibri thalassinus,Male,4,User: Jair | Session: 2026-05-20 19:13,Q108183,Q106512361,Q61927422,Q116787015,Q112732567,Q2906503,Q90799158,Q90809560,Q112732446,Q56881339,Q3776736,Q109433917,Q109433917,Q18349136
346229548,Colibri serrirostris,Female,2,User: Jair | Session: 2026-05-20 19:29,Q56887985,Q106512361,Q90809487,Q39046969,Q112732567,Q61927422,Q112732637,Q115941768,Q691510,Q15141724,Q90809487,Q114420553,Q132459375,Q112732567
346410305,Colibri delphinae,Male,2,User: Jair | Session: 2026-05-20 19:43,Q71406823,Q106512361,Q137374868,Q115413850,Q123227593,Q61927422,Q105996967,Q3849855,Q105996967,Q901731,Q124309091,Q77595803,Q111851367,Q109433917
346419727,Anthocephala floriceps,Male,4,User: Jair | Session: 2026-05-22 15:36,Q60971306,Q11521542,Q3776736,Q22963919,Q123227593,Q18459573,Q3389253,Q137832067,Q3900633,Q21864306,Q3621275,Q3900633,Q106061107,Q137374868
346369769,Lesbia nuna,Female,3,User: Jair | Session: 2026-05-22 15:41,Q18627185,Q106512361,Q18627185,Q114420553,Q123227593,Q3776737,Q11677801,Q133289362,Q17122854,Q2266769,Q98080812,Q25402007,Q612837,Q901731
345768148,Lesbia victoriae,Male,3,User: Jair | Session: 2026-05-22 15:46,Q18627185,Q106512361,Q18627185,Q114420553,Q123227593,Q123227593,Q137832067,Q133289362,Q17122854,Q2266769,Q98080812,Q25402007,Q612837,Q124328099
341210848,Lesbia victoriae berlepschi,Male,4,User: Jair | Session: 2026-05-22 15:54,Q18627185,Q106512361,Q3375649,Q17105502,Q123227593,Q17122854,Q3133,Q3900633,Q3389253,Q137832067,Q18627185,Q106061107,Q123227593,Q24239813
346014320,Mellisuga helenae,Female,4,User: Jair | Session: 2026-05-22 16:00,Q96803467,Q112732637,Q96803467,Q114420553,Q123227593,Q114420553,Q114420553,Q114420553,Q3116788,Q3116794,Q39046969,Q3776737,Q3556225,Q137374868
344609670,Mellisuga minima vielloti,Female,3,User: Jair | Session: 2026-05-22 16:05,Q901731,Q112732637,Q96803467,Q137374868,Q123227593,Q133280730,Q133280730,Q115736060,Q3116788,Q123227593,Q96803467,Q3776737,Q130530219,Q137374868
342258049,Mellisuga minima,Female,2,User: Jair | Session: 2026-05-22 16:13,Q96803467,Q96803467,Q96803467,Q24837023,Q123227593,Q133280730,Q133280730,Q109442450,Q4009897,Q111851367,Q111851367,Q17244465,Q111851367,Q4009899
344616776,Trochilus scitulus,Male,2,User: Jair | Session: 2026-05-22 16:28,Q123227593,Q106512361,Q123227593,Q115959845,Q123227593,Q11677801,Q11677801,Q691510,Q111080140,Q3556203,Q111851367,Q17244465,Q123227593,Q137374868
345576622,Trochilus polytmus,Male,4,User: Jair | Session: 2026-05-22 16:39,Q123227593,Q106512361,Q123227593,Q131392587,Q60971306,Q2465494,Q90809560,Q13424722,Q11607726,Q90809560,Q111851367,Q17244465,Q123227593,Q137374868
346505617,Archilochus alexandri,Male,2,User: Jair | Session: 2026-05-22 17:04,Q12901657,Q106512361,Q96803467,Q123227593,Q123227593,Q428124,Q3849855,Q3776737,Q25402007,Q137374868,Q137374868,Q3849855,Q71406823,Q137374868
