"scientificName","canonicalName","key"
"Polyerata amabilis (Gould, 1853)","Polyerata amabilis",5788536
"Saucerottia beryllina (Deppe, 1830)","Saucerottia beryllina",5788537
"Eriocnemis isabellae Cortés-Diago, Ortega, Mazariegos-Hurtado & Weller, 2007","Eriocnemis isabellae",5788552
"Chlorostilbon lucidus (Shaw, 1812)","Chlorostilbon lucidus",5788555
"Cynanthus doubledayi (Bourcier, 1847)","Cynanthus doubledayi",5844296
"Lampornis cinereicauda (Lawrence, 1867)","Lampornis cinereicauda",5844312
"Eriocnemis aline (Bourcier, 1843)","Eriocnemis aline",6101165
"Chlorestes notata (G.C.Reich, 1793)","Chlorestes notata",7342331
"Anthocephala berlepschi Salvin, 1893","Anthocephala berlepschi",7516718
"Saucerottia cupreicauda (Salvin & Godman, 1884)","Saucerottia cupreicauda",7531020
"Sappho sparganurus (Shaw, 1812)","Sappho sparganurus",7544330
"Oxypogon stubelii","Oxypogon stubelii",7548091
"Phaethornis major Hinkelmann, 1989","Phaethornis major",7562963
"Selasphorus calliope (Gould, 1847)","Selasphorus calliope",7597244
"Oxypogon lindenii (Parzudaki, 1845)","Oxypogon lindenii",7640581
"Phaethornis porcullae Carriker, 1935","Phaethornis porcullae",7772252
"Oxypogon cyanolaemus Salvin & Godman, 1880","Oxypogon cyanolaemus",7858664
"Ocreatus addae (Bourcier, 1846)","Ocreatus addae",7948873
"Phaethornis mexicanus Hartert, 1897","Phaethornis mexicanus",8053769
"Urochroa leucura Lawrence, 1864","Urochroa leucura",8165005
"Phaethornis aethopygus J.T.Zimmer, 1950","Phaethornis aethopygus",8187987
"Eugenes spectabilis (Lawrence, 1867)","Eugenes spectabilis",8212880
"Campylopterus diamantinensis Ruschi, 1963","Campylopterus diamantinensis",8337039
"Stephanoxis loddigesii (Vigors, 1831)","Stephanoxis loddigesii",8414477
"Schistes albogularis Gould, 1852","Schistes albogularis",8752472
"Saucerottia tobaci (J.F.Gmelin, 1788)","Saucerottia tobaci",8760263
"Oxypogon stuebelii A.B.Meyer, 1884","Oxypogon stuebelii",8847274
"Trochilus afer Linnaeus, 1758","Trochilus afer",8920136
"Trochilus forficatus Linnaeus, 1758","Trochilus forficatus",9034608
"Colibri cyanotus (Bourcier, 1843)","Colibri cyanotus",9053125
"Lophornis verreauxii Bourcier, 1853","Lophornis verreauxii",9081205
"Saucerottia cyanifrons (Bourcier, 1843)","Saucerottia cyanifrons",9088790
"Chrysuronia humboldtii (Bourcier & Mulsant, 1852)","Chrysuronia humboldtii",9134116
"Polyerata decora Salvin, 1891","Polyerata decora",9224197
"Chlorestes gertrudis Gundlach","Chlorestes gertrudis",9344909
"Heliangelus clarisse (Longuemare, 1841)","Heliangelus clarisse",9376700
"Ocreatus peruanus (Gould, 1849)","Ocreatus peruanus",9449567
"Metallura jelskii Cabanis","Metallura jelskii",9552244
"Campylopterus calcirupicola Lopes, de Vasconcelos & Gonzaga, 2017","Campylopterus calcirupicola",9570901
"Amazilia cyanocephala (Bourcier & Mulsant, 1846)","Amazilia cyanocephala",9699718
"Trochilus spec Linnaeus, 1758","Trochilus spec",9734931
"Trochilus latipennis Latham, 1790","Trochilus latipennis",10081924
"Oreonympha albolimbata Berlioz, 1938","Oreonympha albolimbata",10681699
"Trochilus paradiseus Linnaeus, 1758","Trochilus paradiseus",10690384
"Coeligena consita Wetmore, Phelps & WH Jr, 1952","Coeligena consita",10707191
"Oreotrochilus cyanolaemus Sornoza-Molina, Freile, Nilsson, Krabbe & Bonaccorso, 2018","Oreotrochilus cyanolaemus",10734190
"Saucerottia saucerottei (Delattre & Bourcier, 1846)","Saucerottia saucerottei",10755999
"Trochilus ourissia Linnaeus, 1758","Trochilus ourissia",10757365
"Trochilus surinamensis Linnaeus, 1758","Trochilus surinamensis",10758059
"Coeligena eisenmanni Weske, 1985","Coeligena eisenmanni",10841369
"Coeligena albicaudata Schuchmann & Züchner, 1997","Coeligena albicaudata",10849587
"Trochilus tomineo Linnaeus, 1758","Trochilus tomineo",10865867
"Saucerottia edward (Delattre & Bourcier, 1846)","Saucerottia edward",10902385
"Riccordia elegans (Gould, 1860)","Riccordia elegans",10904161
"Amazilis amazilia (R.Lesson & Garnot, 1827)","Amazilis amazilia",10907193
"Uranomitra franciae (Bourcier & Mulsant, 1846)","Uranomitra franciae",10912964
"Cynanthus canivetii (R.Lesson, 1832)","Cynanthus canivetii",10917113
