color,colorLabel,hex
http://www.wikidata.org/entity/Q30950539,Hanada,267CA7
http://www.wikidata.org/entity/Q11676208,Hiwa-iro,CBC547
http://www.wikidata.org/entity/Q24574924,India green,138808
http://www.wikidata.org/entity/Q111080140,Islamic green,009900
http://www.wikidata.org/entity/Q111080140,Islamic green,009900
http://www.wikidata.org/entity/Q61927422,Israel blue,0038B8
http://www.wikidata.org/entity/Q18991864,Kintetsu maroon,9D0023
http://www.wikidata.org/entity/Q11374716,Kyō purple,772F6D
http://www.wikidata.org/entity/Q136457814,Light Carmine Pink,E66771
http://www.wikidata.org/entity/Q11617258,Madder,B13546
http://www.wikidata.org/entity/Q11617258,Madder,BF3B53
http://www.wikidata.org/entity/Q3844391,Mandarin orange,FFCC00
http://www.wikidata.org/entity/Q39046969,Marrs green,008C8C
http://www.wikidata.org/entity/Q11278400,Matsuzaki-Shigeru color,A54A5A
http://www.wikidata.org/entity/Q84436827,Microsoft blue,00A2ED
http://www.wikidata.org/entity/Q84436827,Microsoft blue,01A6F0
http://www.wikidata.org/entity/Q84437225,Microsoft green,7DB700
http://www.wikidata.org/entity/Q84437225,Microsoft green,7FBC00
http://www.wikidata.org/entity/Q84436829,Microsoft red,F04E1F
http://www.wikidata.org/entity/Q84436829,Microsoft red,F34F1C
http://www.wikidata.org/entity/Q84437365,Microsoft yellow,FDB900
http://www.wikidata.org/entity/Q84437365,Microsoft yellow,FFBA01
http://www.wikidata.org/entity/Q6845574,Mikado yellow,FFC40C
http://www.wikidata.org/entity/Q25343693,Morello,200042
http://www.wikidata.org/entity/Q69915238,NCS blue,0087BD
http://www.wikidata.org/entity/Q69914710,NCS green,009F6B
http://www.wikidata.org/entity/Q69914380,NCS red,C40233
http://www.wikidata.org/entity/Q69914970,NCS yellow,FFD300
http://www.wikidata.org/entity/Q3007035,Nymphenschenkelfarbe,FEE7F0
http://www.wikidata.org/entity/Q98148703,Orientrot,A7323E
http://www.wikidata.org/entity/Q106918430,Pantone 108 C,FEDB00
http://www.wikidata.org/entity/Q106918430,Pantone 108 C,FEDB00
http://www.wikidata.org/entity/Q110396570,Pantone 116 C,FFCD00
http://www.wikidata.org/entity/Q107674801,Pantone 123 C,FFC72C
http://www.wikidata.org/entity/Q106918418,Pantone 1505 C,FF6900
http://www.wikidata.org/entity/Q106918418,Pantone 1505 C,FF6900
http://www.wikidata.org/entity/Q106918948,Pantone 1645 C,FF6A39
http://www.wikidata.org/entity/Q106918948,Pantone 1645 C,FF6A39
http://www.wikidata.org/entity/Q106621595,Pantone 165 C,FF6720
