"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"rubí","Q3446513","E0115F","General",TRUE
"ruddy","Q133189067","FF0028","General",TRUE
"rufo","Q7377969","A81C07","General",TRUE
"rusty red","Q109442009","DA2C43","General",TRUE
"saddle brown","Q90809553","8B4513","Pigmentary",TRUE
"safety orange","Q1091453","FF8200","General",TRUE
"sage","Q7399114","BCB88A","General",TRUE
"sage green","Q112732446","859477","General",TRUE
"sallow","Q132863112","D9D1B1","General",TRUE
"salmón","Q2015138","FA8072","General",TRUE
"salmón oscuro","Q90809293","E9967A","General",TRUE
"salsa verde","Q137832067","5E9732","General",TRUE
"sand beige","Q24836972","E6C3C3","General",TRUE
"sandy brown","Q77595803","F4A460","Pigmentary",TRUE
"sangre de buey","Q2013559","730800","General",TRUE
"sangria","Q1171945","92000A","General",TRUE
"sea blue","Q11151270","006994","General",TRUE
"sea green","Q90809560","2E8B57","General",TRUE
"seal brown","Q612837","321414","Pigmentary",TRUE
"sepia","Q767608","704214","General",TRUE
"sesame","Q106065780","BAA38B","General",TRUE
"siena","Q899318","A0522D","General",TRUE
"sinopia","Q2303165","CB410B","General",TRUE
"slate blue","Q30137105","6A5ACD","General",TRUE
"snow","Q90809562","FFFAFA","General",TRUE
"snow blue","Q18669148","777BCE","General",TRUE
"snuff brown","Q132673694","85725A","Pigmentary",TRUE
"sooty","Q115733625","141414","Pigmentary",TRUE
"spanish red","Q97191297","E60026","General",TRUE
"starlight","Q114877269","F0ECE6","General",TRUE
"steel","Q106056288","738595","General",TRUE
"stout","Q106006649","3B2814","General",TRUE
"sulphur","Q115208329","E5BB26","General",TRUE
"sulu","Q128807812","C6EA80","General",TRUE
"sumi-iro","Q11429442","343434","General",TRUE
"sunset red","Q124302644","EF4136","General",TRUE
"swamp green","Q4009900","ACB78E","General",TRUE
"swarthy","Q115733603","5E5C59","General",TRUE
"taupe","Q2307593","483C32","General",TRUE
"tawny","Q2836489","CD5700","General",TRUE
"teal blue","Q56881339","367588","General",TRUE
"technobotanica","Q108219690","00FFC0","General",TRUE
"terracota","Q3518540","CC4E5C","General",TRUE
"thistle","Q90809566","D8BFD8","General",TRUE
"tile red","Q115859278","7D2917","General",TRUE
"titanium","Q105995092","878681","General",TRUE
"tiziano","Q2906904","BD5620","General",TRUE
"tomate","Q6592940","FF6347","General",TRUE
"tomato","Q93704722","FF6347","General",TRUE
"trigo","Q958363","F5DEB3","General",TRUE
"turquesa","Q5960345","40E0D0","General",TRUE
"turquoise surf","Q77459172","00AFCA","Iridescent",TRUE
"turquí","Q10862356","122562","General",TRUE
"turtledove","Q3535555","BBACAC","General",TRUE
"ukon","Q11673366","FABF14","General",TRUE
"ultramarine","Q17990717","120A8F","General",TRUE
"umbra","Q901731","635147","General",TRUE
"vainilla","Q7914921","F3E5AB","General",TRUE
"vara de oro","Q13550497","DAA520","General",TRUE
"verde","Q17122854","707020","General",TRUE
"verde","Q3133","00FF00","General",TRUE
"verde Lincoln","Q6551204","195905","General",TRUE
"verde Veronés","Q2266769","40826D","General",TRUE
"verde azulado","Q1078214","008080","General",TRUE
"verde claro","Q15141723","66FF00","General",TRUE
"verde de Dartmouth","Q18627185","00703C","General",TRUE
"verde esmeralda","Q2465494","009473","General",TRUE
"verde giallo","Q1406264","ADFF2F","General",TRUE
"verde laurel","Q22963919","A9BA9D","General",TRUE
"verde manzana","Q89190389","679267","General",TRUE
"verde oliva","Q864152","808000","General",TRUE
"verde oscuro","Q22963901","006400","General",TRUE
"verde pistacho","Q3389253","94C573","General",TRUE
"verde pálido","Q90878152","98FB98","General",TRUE
"verde-amarillo","Q22963960","ADFF2F","General",TRUE
"vino","Q3014419","722F37","General",TRUE
"violet red","Q115858149","F75394","General",TRUE
"violeta","Q27839441","AD5AFF","General",TRUE
"violeta","Q428124","7F00FF","General",TRUE
"vivid sky blue","Q56528582","00CCFF","General",TRUE
"walnut brown","Q137374868","5C5248","Pigmentary",TRUE
"watermelon","Q24820286","FC6C85","General",TRUE
"white wash","Q133278763","F2F4EF","Pigmentary",TRUE
"whitish","Q119984045","F3F2ED","General",TRUE
"wisteria","Q13417144","AFB4DB","General",TRUE
"wood","Q105997630","966F33","General",TRUE
"yellow no. 1","Q11677707","FDBC00","General",TRUE
"yellowish-orange","Q124327868","FFAB0F","General",TRUE
"yellowish-red","Q124327877","EC5300","General",TRUE
"yellowish-white","Q115121358","E9F1D0","Pigmentary",TRUE
"yolk yellow","Q99211754","E2B051","General",TRUE
"young shoot color","Q18459573","E0EBAF","General",TRUE
"zafiro","Q2294908","082567","General",TRUE
"ámbar","Q679355","FFBF00","General",TRUE
